PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),Temperature (Celsius),Humidity (%),Pressure (pascal),Particle Count,hour,day,month,day_of_week,AQI,AQI Category
21,34,16,420,22,68,83315,1967,21,31,12,Tuesday,70.0,Unhealthy
20,31,15,421,21,69,83260,1745,22,31,12,Tuesday,66.66666666666666,Unhealthy
18,29,14,420,21,69,83207,1599,23,31,12,Tuesday,60.0,Unhealthy
16,27,13,420,21,70,83182,1469,0,1,1,Wednesday,53.333333333333336,Unhealthy
18,29,14,429,21,71,83193,1657,1,1,1,Wednesday,60.0,Unhealthy
19,30,14,440,21,71,83219,1663,2,1,1,Wednesday,63.33333333333333,Unhealthy
16,26,13,444,20,71,83226,1491,3,1,1,Wednesday,53.333333333333336,Unhealthy
15,23,12,433,22,65,83263,1365,4,1,1,Wednesday,50.0,Unhealthy
13,20,10,409,25,57,83309,1168,5,1,1,Wednesday,43.333333333333336,Unhealthy for Sensitive Groups
12,19,9,406,26,51,83316,1059,6,1,1,Wednesday,40.0,Unhealthy for Sensitive Groups
11,18,9,406,28,45,83281,997,7,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
10,18,8,404,28,43,83239,955,8,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
10,17,8,403,29,42,83157,935,9,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
11,18,9,405,29,42,83074,992,10,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
11,19,9,405,28,44,83006,996,11,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
11,19,9,403,28,45,82953,1010,12,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
10,19,8,403,27,48,82945,941,13,1,1,Wednesday,33.33333333333333,Unhealthy for Sensitive Groups
11,19,9,406,25,52,82984,993,14,1,1,Wednesday,36.666666666666664,Unhealthy for Sensitive Groups
12,21,10,409,24,57,83045,1074,15,1,1,Wednesday,40.0,Unhealthy for Sensitive Groups
